,Oligos,Neurons,Vascular,Astrocytes,Ependymal,Immune,Blood
0,0.3,0.4,0.0,0.0,0.1,0.2,
1,0.2,0.5,0.0,0.0,0.1,0.2,
2,0.3,0.5,0.0,0.0,0.1,0.1,
3,0.2,0.5,0.1,0.0,0.1,0.1,
4,0.3,0.3,0.0,0.0,0.1,0.3,
5,0.2,0.5,0.0,0.0,0.1,0.2,
6,0.2,0.0,0.3,0.4,0.0,0.1,
7,0.4,0.4,0.0,0.0,0.1,0.1,
8,0.7,0.0,0.0,0.0,0.3,0.0,
9,0.2,0.0,0.2,0.4,0.1,0.1,
10,0.9,0.0,0.0,0.0,0.1,0.0,
11,0.3,0.5,0.0,0.0,0.1,0.1,
12,0.3,0.4,0.1,0.0,0.1,0.1,
13,0.3,0.3,0.1,0.0,0.1,0.2,
14,0.3,0.4,0.0,0.0,0.1,0.2,
15,0.8,0.0,0.0,0.0,0.2,0.0,
16,0.3,0.4,0.1,0.0,0.1,0.1,
17,0.7,0.0,0.0,0.0,0.3,0.0,
18,0.2,0.6,0.0,0.0,0.0,0.2,
19,0.3,0.3,0.1,0.0,0.1,0.2,
20,0.2,0.2,0.2,0.0,0.2,0.2,
21,0.2,0.2,0.2,0.0,0.2,0.2,
22,0.9,0.0,0.0,0.0,0.1,0.0,
23,0.2,0.5,0.0,0.0,0.1,0.2,
24,0.2,0.5,0.1,0.0,0.1,0.1,
25,0.8,0.0,0.0,0.0,0.2,0.0,
26,0.5,0.0,0.0,0.0,0.5,0.0,
27,0.8,0.0,0.0,0.0,0.2,0.0,
28,0.7,0.0,0.0,0.0,0.3,0.0,
29,0.8,0.0,0.0,0.0,0.2,0.0,
30,0.2,0.0,0.3,0.4,0.0,0.1,
31,0.2,0.5,0.1,0.0,0.1,0.1,
32,0.2,0.0,0.2,0.5,0.0,0.1,
33,0.2,0.0,0.2,0.4,0.1,0.1,
34,0.2,0.0,0.2,0.4,0.1,0.1,
35,0.2,0.0,0.2,0.4,0.1,0.1,
36,0.2,0.5,0.1,0.0,0.1,0.1,
37,0.2,0.1,0.2,0.2,0.1,0.2,
38,0.3,0.4,0.0,0.0,0.1,0.2,
39,0.2,0.7,0.0,0.0,0.0,0.1,
40,0.2,0.0,0.2,0.3,0.1,0.2,
41,0.2,0.6,0.0,0.0,0.1,0.1,
42,0.8,0.0,0.0,0.0,0.2,0.0,
43,0.2,0.5,0.1,0.0,0.1,0.1,
44,0.3,0.4,0.0,0.0,0.1,0.2,
45,0.4,0.5,0.0,0.0,0.0,0.1,
46,0.1,0.7,0.0,0.0,0.1,0.1,
47,0.3,0.4,0.0,0.0,0.1,0.2,
48,0.3,0.3,0.0,0.0,0.1,0.3,
49,0.4,0.4,0.0,0.0,0.0,0.2,
50,0.9,0.0,0.0,0.0,0.1,0.0,
51,0.7,0.0,0.0,0.0,0.3,0.0,
52,0.8,0.0,0.0,0.0,0.2,0.0,
53,0.7,0.0,0.0,0.0,0.3,0.0,
54,0.8,0.0,0.0,0.0,0.2,0.0,
55,0.9,0.0,0.0,0.0,0.1,0.0,
56,0.3,0.5,0.0,0.0,0.0,0.2,
57,0.9,0.0,0.0,0.0,0.1,0.0,
58,0.5,0.0,0.0,0.0,0.5,0.0,
59,0.5,0.0,0.0,0.0,0.5,0.0,
60,0.7,0.0,0.0,0.0,0.3,0.0,
61,0.6,0.0,0.0,0.0,0.4,0.0,
62,0.9,0.0,0.0,0.0,0.1,0.0,
63,0.6,0.0,0.0,0.0,0.4,0.0,
64,0.7,0.0,0.0,0.0,0.3,0.0,
65,0.2,0.6,0.0,0.0,0.1,0.1,
66,0.3,0.5,0.0,0.0,0.1,0.1,
67,0.3,0.3,0.0,0.0,0.1,0.3,
68,0.4,0.4,0.0,0.0,0.0,0.2,
69,0.4,0.5,0.0,0.0,0.0,0.1,
70,0.2,0.6,0.0,0.0,0.0,0.2,
71,0.2,0.5,0.1,0.0,0.1,0.1,
72,0.2,0.5,0.1,0.0,0.1,0.1,
73,0.3,0.3,0.1,0.0,0.1,0.2,
74,0.2,0.4,0.1,0.0,0.1,0.2,
75,0.7,0.0,0.0,0.0,0.3,0.0,
76,0.9,0.0,0.0,0.0,0.1,0.0,
77,1.0,0.0,0.0,0.0,0.0,0.0,
78,0.7,0.0,0.0,0.0,0.3,0.0,
79,0.9,0.0,0.0,0.0,0.1,0.0,
80,0.9,0.0,0.0,0.0,0.1,0.0,
81,0.7,0.0,0.0,0.0,0.3,0.0,
82,0.6,0.0,0.0,0.0,0.4,0.0,
83,0.7,0.0,0.0,0.0,0.3,0.0,
84,1.0,0.0,0.0,0.0,0.0,0.0,
85,0.6,0.0,0.0,0.0,0.4,0.0,
86,0.5,0.0,0.0,0.0,0.5,0.0,
87,0.2,0.4,0.1,0.0,0.1,0.2,
88,0.2,0.5,0.0,0.0,0.1,0.2,
89,0.2,0.5,0.0,0.0,0.1,0.2,
90,0.2,0.0,0.3,0.3,0.1,0.1,
91,0.3,0.0,0.3,0.3,0.0,0.1,
92,0.2,0.0,0.3,0.3,0.0,0.2,
93,0.2,0.0,0.2,0.5,0.0,0.1,
94,0.1,0.8,0.0,0.0,0.0,0.1,
95,0.3,0.5,0.0,0.0,0.0,0.2,
96,0.3,0.4,0.0,0.0,0.1,0.2,
97,0.1,0.0,0.1,0.7,0.0,0.1,
98,0.2,0.4,0.1,0.0,0.1,0.2,
99,0.3,0.6,0.0,0.0,0.0,0.1,
100,0.2,0.4,0.0,0.0,0.2,0.2,
101,0.2,0.4,0.0,0.0,0.2,0.2,
102,0.1,0.7,0.0,0.0,0.1,0.1,
103,0.3,0.5,0.0,0.0,0.0,0.2,
104,0.3,0.4,0.0,0.0,0.1,0.2,
105,0.3,0.4,0.0,0.0,0.1,0.2,
106,0.6,0.0,0.0,0.0,0.4,0.0,
107,0.8,0.0,0.0,0.0,0.2,0.0,
108,0.3,0.4,0.1,0.0,0.1,0.1,
109,0.2,0.4,0.1,0.0,0.1,0.2,
110,0.2,0.4,0.1,0.0,0.1,0.2,
111,0.7,0.0,0.0,0.0,0.3,0.0,
112,0.2,0.5,0.0,0.0,0.1,0.2,
113,0.2,0.3,0.1,0.0,0.2,0.2,
114,0.3,0.3,0.0,0.0,0.2,0.2,
115,1.0,0.0,0.0,0.0,0.0,0.0,
116,0.3,0.4,0.0,0.0,0.1,0.2,
117,0.3,0.4,0.0,0.0,0.1,0.2,
118,0.6,0.0,0.0,0.0,0.4,0.0,
119,0.3,0.4,0.1,0.0,0.1,0.1,
120,0.1,0.1,0.2,0.4,0.1,0.1,
121,0.7,0.0,0.0,0.0,0.3,0.0,
122,0.3,0.0,0.3,0.3,0.0,0.1,
123,0.2,0.0,0.3,0.3,0.0,0.2,
124,0.3,0.3,0.0,0.0,0.1,0.3,
125,0.2,0.0,0.3,0.3,0.1,0.1,
126,0.2,0.5,0.1,0.0,0.1,0.1,
127,0.1,0.0,0.2,0.5,0.1,0.1,
128,0.3,0.5,0.0,0.0,0.0,0.2,
129,0.2,0.0,0.2,0.4,0.1,0.1,
130,0.2,0.0,0.2,0.3,0.1,0.2,
131,0.2,0.0,0.2,0.5,0.0,0.1,
132,0.1,0.0,0.2,0.5,0.1,0.1,
133,0.3,0.0,0.3,0.3,0.0,0.1,
134,0.3,0.3,0.1,0.0,0.1,0.2,
135,0.3,0.4,0.0,0.0,0.1,0.2,
136,0.2,0.5,0.1,0.0,0.1,0.1,
137,0.2,0.5,0.1,0.0,0.1,0.1,
138,0.6,0.0,0.0,0.0,0.4,0.0,
139,0.2,0.4,0.1,0.0,0.1,0.2,
140,0.4,0.5,0.0,0.0,0.0,0.1,
141,0.5,0.0,0.0,0.0,0.5,0.0,
142,0.6,0.0,0.0,0.0,0.4,0.0,
143,0.3,0.4,0.0,0.0,0.1,0.2,
144,0.3,0.3,0.1,0.0,0.1,0.2,
145,0.8,0.0,0.0,0.0,0.2,0.0,
146,0.9,0.0,0.0,0.0,0.1,0.0,
147,1.0,0.0,0.0,0.0,0.0,0.0,
148,0.2,0.5,0.1,0.0,0.1,0.1,
149,0.6,0.0,0.0,0.0,0.4,0.0,
150,1.0,0.0,0.0,0.0,0.0,0.0,
151,0.2,0.4,0.1,0.0,0.1,0.2,
152,0.4,0.4,0.0,0.0,0.1,0.1,
153,0.9,0.0,0.0,0.0,0.1,0.0,
154,0.3,0.5,0.0,0.0,0.1,0.1,
155,0.1,0.0,0.4,0.5,0.0,0.0,
156,0.3,0.5,0.0,0.0,0.0,0.2,
157,0.2,0.1,0.2,0.3,0.1,0.1,
158,0.2,0.0,0.3,0.4,0.0,0.1,
159,0.2,0.0,0.2,0.4,0.0,0.2,
160,0.2,0.5,0.0,0.0,0.1,0.2,
161,0.3,0.4,0.1,0.0,0.1,0.1,
162,0.2,0.5,0.0,0.0,0.1,0.2,
