cell1,cell2
1,14
2,3
3,2
4,5
5,4
6,8
7,68
8,66
9,35
10,33
11,31
12,22
13,14
14,13
15,17
16,18
17,15
18,16
19,20
20,19
21,22
22,21
23,25
24,42
25,23
26,24
27,28
28,27
29,30
30,29
31,11
32,42
33,21
34,36
35,194
36,193
37,98
38,195
39,42
40,46
41,34
42,24
43,45
44,53
45,58
46,40
47,99
48,100
49,101
50,53
51,52
52,62
53,50
54,57
55,56
56,55
57,54
58,45
59,65
60,58
61,43
62,52
63,61
64,67
65,69
66,8
67,68
68,7
69,65
70,74
71,75
72,73
73,72
74,70
75,71
76,78
77,81
78,76
79,81
80,77
81,79
82,87
83,79
84,78
85,90
86,112
87,82
88,104
89,196
90,85
91,72
92,93
93,92
94,95
95,94
96,106
97,95
98,37
99,47
100,48
101,49
102,50
103,104
104,88
105,106
106,96
107,110
108,112
109,71
110,200
111,89
112,108
113,87
114,125
115,117
116,115
117,126
118,141
119,120
120,217
121,124
122,223
123,222
124,121
125,114
126,117
127,145
128,129
129,127
130,131
131,130
132,121
133,135
134,191
135,130
136,149
137,134
138,150
139,140
140,139
141,161
142,141
143,144
144,143
145,127
146,145
147,146
148,184
149,136
150,138
151,175
152,154
153,176
154,152
155,158
156,225
157,156
158,155
159,227
160,159
161,141
162,159
163,230
164,232
165,166
166,153
167,174
168,259
169,171
170,207
171,236
172,235
173,174
174,173
175,151
176,153
177,213
178,177
179,181
180,190
181,188
182,186
183,184
184,148
185,187
186,182
187,185
188,181
189,215
190,180
191,192
192,191
193,36
194,35
195,38
196,89
197,206
198,205
199,200
200,110
201,203
202,113
203,205
204,200
205,203
206,197
207,213
208,168
209,259
210,211
211,210
212,178
213,207
214,215
215,189
216,210
217,120
218,224
219,115
220,221
221,220
222,223
223,260
224,218
225,156
226,229
227,228
228,233
229,226
230,236
231,237
232,164
233,228
234,235
235,172
236,230
237,231
238,240
239,241
240,238
241,239
242,243
243,252
244,251
245,250
246,249
247,248
248,247
249,246
250,245
251,244
252,243
253,242
254,257
255,250
256,251
257,254
258,253
259,168
260,223
